SEQUENTIAL
Electron number;;
100;;1.235;1.231;1.234;1.257;1.241;
400;;4.882;4.866;4.897;4.896;4.938;
800;;9.801;9.787;9.834;11.595;9.953;
2000;;24.773;24.531;24.555;24.545;24.348;
4000;;48.946;48.711;48.654;48.858;48.804;

PARALLEL M Only
Electron number;Multiplier;MPI Processes=6;
100;1;.930;.866;.902;.899;.865;
100;4;.811;.791;.795;.787;1.072;
100;10;.813;.818;.832;.843;.832;
100;20;.919;.947;.940;.936;.930;
100;100;.812;.813;.814;.802;.832;
400;1;2.417;2.374;2.428;2.828;2.824;
400;4;2.360;2.183;2.259;2.258;2.263;
400;10;2.229;2.225;2.252;2.282;2.283;
400;20;2.259;2.395;2.250;2.232;2.161;
400;100;2.264;2.278;2.251;2.285;2.275;
800;1;4.365;4.582;4.678;4.324;4.379;
800;4;4.253;4.308;4.344;4.319;4.398;
800;10;4.219;4.225;4.214;4.100;4.096;
800;20;4.135;4.270;4.330;4.132;4.198;
800;100;4.415;4.527;4.532;4.127;4.161;
2000;1;10.785;10.906;10.893;10.797;10.431;
2000;4;10.318;10.053;10.035;10.428;10.405;
2000;10;10.163;9.827;9.924;10.133;9.925;
2000;20;9.835;10.113;10.158;10.213;9.760;
2000;100;10.175;9.882;10.158;10.296;10.215;
4000;1;21.109;20.885;21.825;21.523;20.822;
4000;4;20.927;20.830;19.744;21.168;20.801;
4000;10;19.575;20.759;20.701;19.758;20.829;
4000;20;20.458;20.205;20.761;21.379;21.150;
4000;100;20.770;19.367;20.089;20.789;19.398;

PARALLEL M+F
Electron number;Multiplier;MPI Processes=6;
100;1;.821;.814;.790;.873;.890;
100;4;.748;.748;.733;.783;.737;
100;10;.757;.783;.783;.746;.787;
100;20;.883;.892;.845;.898;.846;
100;100;.864;.836;.862;.870;.844;
400;1;2.319;2.764;2.757;2.705;2.424;
400;4;2.325;2.321;2.323;2.356;2.318;
400;10;2.757;2.403;2.327;2.278;2.374;
400;20;2.744;2.411;2.398;2.402;2.715;
400;100;2.654;2.354;2.341;2.734;2.770;
800;1;4.995;4.981;4.614;4.463;4.573;
800;4;4.473;4.481;4.966;4.530;4.289;
800;10;4.395;4.568;4.399;4.516;4.504;
800;20;4.534;4.552;4.540;4.283;4.980;
800;100;4.553;4.843;5.164;5.003;5.201;
2000;1;11.709;11.827;11.800;11.821;11.757;
2000;4;11.724;11.750;11.396;11.860;11.869;
2000;10;11.929;11.377;10.525;10.462;10.482;
2000;20;10.553;10.565;11.099;10.581;10.339;
2000;100;10.046;12.992;11.038;10.010;10.739;
4000;1;21.939;21.399;22.144;21.805;22.106;
4000;4;20.703;21.198;20.717;20.818;20.717;
4000;10;19.564;20.773;20.694;20.723;20.167;
4000;20;21.122;19.996;19.553;21.064;20.251;
4000;100;20.749;20.193;20.708;19.897;21.093;

